SEASON,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,E_DEF_RATING,DEF_RATING,DEF_RATING_RANK,PACE,POSS
2003-04,1610612737,Atlanta Hawks,82,28,54,0.341,103.1,103.9,24,92.68,7680
2003-04,1610612738,Boston Celtics,82,36,46,0.439,100.2,102.2,17,94.47,7757
2003-04,1610612741,Chicago Bulls,82,23,59,0.28,100.5,102.1,16,93.23,7694
2003-04,1610612739,Cleveland Cavaliers,82,35,47,0.427,101.3,103.1,20,91.71,7577
2003-04,1610612742,Dallas Mavericks,82,52,30,0.634,104.3,105.9,26,94.62,7814
2003-04,1610612743,Denver Nuggets,82,43,39,0.524,99.9,101.4,15,94.64,7786
2003-04,1610612765,Detroit Pistons,82,54,28,0.659,92.5,93.9,2,89.34,7365
2003-04,1610612744,Golden State Warriors,82,37,45,0.451,101.2,102.6,18,90.95,7535
2003-04,1610612745,Houston Rockets,82,45,37,0.549,96.4,97.8,5,88.92,7384
2003-04,1610612754,Indiana Pacers,82,61,21,0.744,94.8,96.2,3,88.54,7311
2003-04,1610612746,Los Angeles Clippers,82,28,54,0.341,105.9,106.6,28,92.49,7624
2003-04,1610612747,Los Angeles Lakers,82,56,26,0.683,98.7,100.1,8,93.39,7729
2003-04,1610612763,Memphis Grizzlies,82,50,32,0.61,99.2,100.8,12,92.6,7670
2003-04,1610612748,Miami Heat,82,42,40,0.512,98.9,100.3,9,89.3,7361
2003-04,1610612749,Milwaukee Bucks,82,41,41,0.5,102.6,103.5,23,93.2,7682
2003-04,1610612750,Minnesota Timberwolves,82,58,24,0.707,96.6,98.5,6,90.24,7441
2003-04,1610612751,New Jersey Nets,82,47,35,0.573,95.2,96.4,4,90.97,7475
2003-04,1610612740,New Orleans Hornets,82,41,41,0.5,99.5,100.6,11,90.59,7476
2003-04,1610612752,New York Knicks,82,39,43,0.476,100.3,101.3,14,91.29,7563
2003-04,1610612753,Orlando Magic,82,21,61,0.256,107.5,108.8,29,92.14,7608
2003-04,1610612755,Philadelphia 76ers,82,33,49,0.402,99.1,100.4,10,89.26,7379
2003-04,1610612756,Phoenix Suns,82,29,53,0.354,102.2,104.2,25,93.72,7699
